round,max_value,better_idx,last_values
9,1165,90,1165
9,1118,76,1022
9,1136,89,1136
9,1143,88,1143
9,1152,97,1152
9,1158,94,1073
9,1170,92,1170
9,1163,28,1111
9,1097,91,1097
9,1119,96,1119
9,1082,99,1082
9,1151,84,1026
9,1145,97,1145
9,1170,73,1127
9,1189,94,1189
9,1110,84,1038
9,1143,50,1115
9,1151,76,1033
9,1112,63,994
9,1187,95,1187
9,1088,99,1088
9,1164,79,1148
9,1177,81,1131
9,1121,45,1116
9,1125,97,1125
9,1110,96,1110
9,1154,85,1093
9,1130,85,1130
9,1189,97,1189
9,1027,64,1004
9,1182,90,1182
9,1147,70,1083
9,1136,63,1123
9,1147,96,1147
9,1124,76,1113
9,1116,95,1116
9,1061,78,1046
9,1148,87,1148
9,1180,96,1180
9,1111,99,1111
9,1163,71,1104
9,1165,89,1165
9,1145,89,1145
9,1129,99,1129
9,1126,65,1119
9,1151,98,1151
9,1112,97,1112
9,1104,97,1104
9,1110,87,1110
9,1184,88,1182
9,1147,18,1098
9,1156,64,1116
9,1150,96,1150
9,1154,96,1154
9,1126,86,1092
9,1093,98,1093
9,1119,33,943
9,1149,99,1149
9,1175,90,1175
9,1126,86,1004
9,1175,69,1093
9,1185,94,1185
9,1125,99,1125
9,1144,83,1144
9,1108,93,1108
9,1096,70,964
9,1149,94,1149
9,1145,85,1090
9,1076,95,1076
9,1106,92,1106
9,1178,92,1178
9,1141,74,1068
9,1144,89,1144
9,1172,95,1172
9,1121,98,1121
9,1146,92,1146
9,1157,93,1157
9,1183,99,1183
9,1202,97,1202
9,1132,99,1132
9,1152,92,1152
9,1164,99,1164
9,1183,59,1164
9,1120,97,1120
10,1307,85,1223
10,1231,99,1231
10,1186,78,1073
10,1216,73,1201
10,1259,84,1259
10,1213,98,1213
10,1286,92,1286
10,1289,92,1269
10,1315,88,1246
10,1274,70,1253
10,1277,51,1272
10,1302,99,1302
10,1273,31,1098
10,1309,88,1252
10,1268,98,1268
10,1259,88,1259
10,1341,78,1334
10,1315,87,1315
10,1231,96,1231
10,1289,94,1251
10,1171,98,1171
10,1284,99,1284
10,1288,64,1243
10,1219,43,1144
10,1294,94,1294
10,1228,73,1194
10,1334,94,1334
10,1313,89,1313
10,1292,99,1292
10,1331,78,1314
10,1262,97,1262
10,1190,97,1190
10,1270,98,1270
10,1210,74,1150
10,1278,32,1198
10,1258,97,1258
10,1225,63,1141
10,1305,39,1268
10,1248,98,1248
10,1321,50,1271
10,1309,71,1249
10,1333,48,1255
10,1225,97,1225
10,1332,84,1332
10,1303,99,1303
10,1326,85,1326
10,1228,76,1193
10,1254,96,1254
10,1187,34,1161
10,1314,88,1314
10,1295,79,1271
10,1226,84,1226
10,1229,69,1155
10,1228,21,1150
10,1308,68,1308
10,1259,86,1259
10,1289,88,1289
10,1280,96,1280
10,1291,63,1184
10,1307,84,1307
10,1205,94,1205
10,1297,99,1297
10,1259,47,1255
10,1275,78,1253
10,1233,84,1167
10,1272,88,1272
10,1273,96,1273
10,1319,77,1207
10,1283,95,1283
10,1314,92,1314
10,1255,96,1255
10,1312,96,1312
10,1275,83,1275
10,1322,81,1240
10,1235,97,1235
10,1206,75,1203
10,1295,97,1295
10,1266,80,1179
10,1314,99,1314
10,1330,99,1330
10,1178,63,1114
10,1212,98,1212
10,1199,98,1199
10,1322,79,1322
10,1332,96,1332
10,1207,15,1188
10,1313,98,1313
10,1243,59,1214
10,1232,80,1232
10,1297,91,1297
10,1284,69,1212
10,1303,81,1300
10,1325,62,1283
10,1307,69,1226
10,1277,96,1277
10,1350,91,1350
10,1279,86,1279
10,1297,56,1211
10,1257,95,1177
10,1318,69,1307
11,432,65,364
11,516,47,455
11,497,94,497
11,522,83,493
11,510,62,481
11,467,80,446
11,512,78,512
11,539,55,440
11,504,84,437
11,460,92,460
11,547,69,541
11,524,98,524
11,435,91,405
11,538,98,538
11,529,86,529
11,501,72,471
11,501,73,459
11,504,69,470
11,445,99,445
11,490,27,433
11,453,50,438
11,488,91,488
11,459,95,459
11,524,67,445
11,475,83,475
11,476,75,476
11,490,99,490
11,517,82,517
11,464,81,425
11,508,92,482
11,482,76,443
11,522,27,504
11,498,98,498
11,482,59,410
11,490,83,490
11,450,91,450
11,527,35,445
11,532,40,501
11,503,94,503
11,527,98,527
11,465,62,423
11,442,20,340
11,472,90,472
11,497,95,497
11,521,80,481
11,539,77,502
11,487,91,482
11,509,82,457
11,495,96,495
11,538,89,538
11,527,88,527
11,414,53,407
11,480,96,480
11,501,93,501
11,520,95,520
11,548,91,496
11,487,81,487
11,499,90,499
11,520,54,465
11,509,99,509
11,512,86,460
11,500,99,500
11,543,66,419
11,534,85,534
11,494,52,441
11,501,56,484
11,527,98,527
11,498,93,498
11,469,32,388
11,460,40,428
11,508,98,508
11,483,60,467
11,486,86,486
11,543,81,543
11,496,72,489
11,463,62,411
11,504,57,462
11,548,90,523
11,475,53,435
11,484,99,484
11,409,94,409
11,532,61,470
11,472,76,441
11,522,99,522
11,486,86,486
11,492,19,485
11,487,28,472
11,473,97,473
11,491,99,491
11,498,88,498
11,490,76,428
11,401,96,401
11,538,55,394
11,507,72,498
11,486,96,486
11,468,92,468
11,445,40,432
11,463,92,463
11,474,81,441
11,469,95,469
12,1044,71,985
12,1050,99,1050
12,1070,96,1070
12,1085,91,1085
12,1045,98,1045
12,1017,93,1017
12,1000,89,1000
12,1072,99,1072
12,1080,81,1080
12,1022,95,1010
12,1036,98,1036
12,1075,82,1068
12,1062,95,1062
12,1067,99,1067
12,1074,91,1074
12,1090,69,1022
12,1097,58,1097
12,1038,90,1038
12,1086,83,1086
12,1027,42,973
12,1056,96,1056
12,1011,98,1011
12,1001,88,1001
12,1056,65,1035
12,1045,65,986
12,1057,99,1057
12,1031,84,1003
12,1045,84,1045
12,1074,97,1074
12,1110,67,1082
12,1101,98,1101
12,1080,98,1080
12,978,99,978
12,1113,92,1113
12,1125,93,1125
12,1039,66,1022
12,1085,94,1085
12,985,92,985
12,1046,98,1046
12,1087,94,1087
12,1085,83,1085
12,1047,94,1047
12,1054,61,960
12,1020,99,1020
12,1058,94,1058
12,1100,96,1100
12,1098,80,1048
12,981,90,981
12,1079,37,1015
12,1095,89,1095
12,1068,48,1001
12,1042,96,1042
12,971,97,971
12,1049,41,1015
12,1083,99,1083
12,987,48,961
12,1006,93,1006
12,1091,95,1091
12,1063,47,1034
12,997,90,967
12,1026,52,1003
12,991,92,991
12,1051,96,1051
12,1088,98,1088
12,1023,84,968
12,1041,95,1041
12,1058,99,1058
12,978,49,895
12,1029,27,958
12,1019,65,954
12,1019,51,845
12,1098,28,1045
12,1059,79,1045
12,1092,62,1089
12,944,81,900
12,964,42,961
12,940,60,930
12,1077,91,1077
12,1053,70,1034
12,996,99,996
12,1066,92,1066
12,1018,97,1018
12,1033,56,950
12,1061,94,972
12,1042,61,1006
12,1103,48,1048
12,1050,95,1050
12,1094,82,1059
12,1041,88,1041
12,1080,86,1080
12,1066,80,1054
12,1091,77,1091
12,1044,97,1044
12,1023,62,949
12,1093,70,1093
12,1065,99,1065
12,957,90,901
12,1084,81,1053
12,1098,83,1089
12,1092,93,1092
13,880,64,867
13,865,89,865
13,859,90,859
13,893,88,819
13,898,87,898
13,866,27,846
13,884,85,884
13,873,91,873
13,853,81,853
13,854,98,854
13,868,99,868
13,906,93,906
13,874,86,874
13,887,74,887
13,866,76,863
13,826,87,765
13,826,81,808
13,883,97,883
13,794,96,794
13,839,79,819
13,886,90,855
13,851,56,840
13,859,92,859
13,844,97,824
13,864,84,864
13,820,97,820
13,867,85,820
13,892,96,892
13,870,97,870
13,917,96,917
13,902,97,902
13,833,91,833
13,855,76,838
13,858,97,858
13,864,49,848
13,872,87,872
13,857,39,830
13,795,92,795
13,888,66,863
13,892,97,892
13,874,95,874
13,888,94,888
13,890,62,799
13,886,69,776
13,904,99,904
13,844,96,844
13,883,97,883
13,890,97,890
13,856,63,850
13,899,78,899
13,865,93,865
13,837,94,837
13,885,91,885
13,875,83,866
13,876,97,876
13,872,83,872
13,839,86,839
13,893,87,893
13,889,95,889
13,918,93,918
13,806,96,806
13,828,53,824
13,894,95,894
13,853,99,853
13,876,86,876
13,912,81,912
13,856,85,856
13,864,43,853
13,857,84,857
13,886,69,851
13,872,89,872
13,886,50,886
13,842,95,842
13,898,98,898
13,845,87,843
13,879,92,879
13,866,99,866
13,851,91,851
13,893,94,893
13,804,82,785
13,879,96,879
13,888,68,882
13,905,94,905
13,874,65,826
13,896,91,896
13,881,95,881
13,818,95,818
13,913,99,913
13,900,97,900
13,892,98,892
13,876,92,876
13,879,91,879
13,862,67,770
13,856,34,835
13,877,80,863
13,925,93,925
13,902,84,902
13,851,78,838
13,783,84,772
13,810,97,810
14,976,80,914
14,1027,99,1027
14,993,99,993
14,1067,64,1031
14,1010,52,952
14,977,92,951
14,1043,99,1043
14,1172,99,1172
14,994,12,938
14,1006,98,1006
14,989,83,1010
14,1047,77,1044
14,993,88,925
14,971,99,971
14,1018,99,1018
14,1066,98,1066
14,1008,94,1008
14,1036,96,1036
14,1056,96,1056
14,1033,88,1033
14,1001,27,982
14,1062,97,1062
14,909,95,909
14,1144,99,1144
14,1114,86,1057
14,1062,99,1062
14,1048,92,1048
14,1077,87,1077
14,1072,76,1003
14,1014,14,939
14,1047,66,1025
14,1042,88,1042
14,966,72,933
14,976,89,923
14,997,99,997
14,1038,97,1038
14,1018,95,1018
14,990,91,990
14,1012,85,1012
14,1064,83,1064
14,975,96,975
14,1001,45,990
14,1035,99,1035
14,1036,66,1007
14,1075,98,1075
14,1071,94,1071
14,1017,84,935
14,1109,96,1109
14,1026,96,1026
14,1022,96,1022
14,973,98,973
14,1026,99,1026
14,995,81,997
14,992,90,992
14,1050,98,1050
14,1009,51,962
14,1065,91,983
14,1003,3,922
14,936,96,936
14,995,91,980
14,994,74,939
14,1067,71,990
14,1067,46,896
14,1067,71,1004
14,1043,98,1043
14,965,96,965
14,1011,52,796
14,996,86,996
14,986,35,957
14,1056,82,1052
14,1074,88,1003
14,1051,32,979
14,984,69,897
14,1067,91,1067
14,977,64,963
14,1020,70,890
14,992,21,984
14,1086,97,1086
14,990,45,967
14,1105,97,1105
14,1076,93,1076
14,1023,95,1023
14,1108,86,1108
14,970,86,970
14,1105,84,1030
14,1089,99,1089
14,1105,88,1105
14,1079,70,1044
14,987,58,943
14,1077,93,1077
14,1076,94,1076
14,1081,95,1081
14,1019,81,1019
14,1039,67,1016
14,1051,92,1051
14,1098,87,1098
14,1003,99,1003
14,1037,92,1037
14,1042,84,1034
14,1052,55,1037
15,825,65,823
15,953,98,953
15,947,91,947
15,954,98,954
15,889,99,889
15,845,87,785
15,930,95,930
15,901,95,901
15,932,95,932
15,880,46,794
15,887,96,887
15,859,59,821
15,896,98,896
15,969,57,797
15,946,75,908
15,955,96,955
15,928,84,928
15,964,93,964
15,902,64,893
15,892,79,892
15,901,85,901
15,900,76,886
15,958,97,958
15,892,40,881
15,884,89,884
15,872,77,850
15,943,93,943
15,926,94,926
15,919,89,919
15,807,57,804
15,915,75,899
15,909,99,909
15,950,86,930
15,947,89,947
15,927,93,927
15,922,97,922
15,887,47,845
15,786,22,738
15,922,91,922
15,866,83,866
15,935,94,935
15,890,96,890
15,843,71,830
15,873,60,866
